name,mz,rt,global_positive_Batch1_A1,global_positive_Batch1_A2,global_positive_Batch1_A3,global_positive_Batch1_A4,global_positive_Batch1_A5,global_positive_Batch1_F76,global_positive_Batch1_F77,global_positive_Batch1_F78,global_positive_Batch1_F79,global_positive_Batch1_F80
M105T114,104.5704352,113.76,35613.84227,40747.88498,24705.1376,NA,24699.59906,27837.83783,NA,NA,NA,NA
M105T94,104.9660051,94.07215118,147958.6545,3698548.288,161371.7695,128315.8588,147808.5658,143154.7755,3307937.436,99670.63128,4225215.915,140075.5016
M105T494,105.0570266,494.298,27212.53817,49815.65058,82449.30632,42698.93348,26921.83043,NA,NA,NA,NA,NA
M105T113,105.1098619,113.3102722,28611.46242,48006.41187,25876.72388,517194.5046,649752.0011,633404.2992,482490.5315,470758.8219,424892.7945,491551.5822
M105T572,105.0333156,571.9467773,628350.532,456726.6373,814283.301,69603.1955,1161366.744,99586.78577,403834.5995,335278.6682,439564.853,560485.9711
M106T97,106.0038189,96.9716568,295344.6787,379955.3381,290926.4862,276718.4284,375155.9474,356122.7708,344051.1043,298675.0469,417031.9147,241070.6736
M106T121,106.0494995,120.6463776,NA,NA,80692.07431,49335.4872,93306.18175,48536.37706,169093.2614,182411.5447,241551.1565,181372.097
M107T99,106.9628991,98.63812256,344684.1288,596053.4002,303261.8514,281895.7827,625097.1876,526397.3085,356320.4026,243045.1935,1765756.311,342499.6768
M107T638,107.0696545,637.6308594,189245.8192,169524.3959,177068.3499,161873.3189,200283.6494,NA,108465.8708,129674.296,183042.0332,NA
M107T494,107.0489188,494.287262,239670.7397,NA,203180.4552,186145.272,247658.3765,146453.666,NA,NA,NA,NA
M107T74,107.028214,74.20565796,293724.0208,516515.2842,233609.8452,792442.1406,244739.7606,NA,1050222.492,711537.4357,793463.4977,761374.4023
M107T18,107.0281484,18.12019157,509865.668,714144.8436,340298.8956,1227908.111,273208.8245,395549.2156,310037.2486,596682.9284,420811.1359,466795.3209
M108T121,108.1172721,120.6463776,42538.9827,NA,44316.75971,94113.52516,54170.06246,230104.1802,399116.9052,176756.588,321109.1943,170482.7101
M109T105,108.948257,105.1966934,70968.33118,124128.2278,103770.7606,91633.54767,NA,57507.67284,74437.7771,120901.8587,101634.1054,92039.41552
M109T493,109.0645578,493.2959595,893815.9292,1419543.02,1619355.876,1001896.233,1401040.906,818118.7649,1544164.504,1386943.971,1168087.971,859660.1737
M111T108,111.0160931,108.0855086,158062.892,158748.8897,126080.7897,221814.3776,207920.3649,NA,278916.2381,40262.81945,255215.7694,NA
M112T115,112.0364878,114.8826675,538052.2354,468267.0956,650537.8283,363650.389,574331.3773,618095.1456,468189.1671,375965.6982,448992.0522,373137.3033
M113T121,112.8952505,120.6463776,465382.6493,4395119.457,31228.87591,80488.09883,142594.6977,464836.3928,1214437.275,1858242.605,1431574.368,1642175.904
M113T140,113.0205053,139.5052185,NA,699683.6483,1144139.425,1363393.462,67602.28419,216791.313,734337.1317,241864.8718,812988.8618,290940.1037
M113T148,113.1764647,147.5943909,NA,NA,NA,NA,NA,147302.3576,504404.7145,186069.7582,219237.5596,169460.6431
M114T160,114.0659236,159.8580093,550209.8409,1822484.943,1257018.013,347100.764,2941241.81,68978.43876,165816.9947,205423.6465,2244565.724,1163622.433
M114T594,114.1274757,594.0296631,NA,464009.2839,71584.2678,31589.67292,106760.0137,NA,NA,97056.02748,117257.0548,1037943.874
M115T110,114.8930181,110.4249191,1315441.698,1271154.513,1096548.29,944884.5219,1181639.97,686111.5249,1128518.857,1536545.383,1344319.074,1147074.323
M115T538,115.0537324,537.9619875,2196002.758,1926656.188,2639027.047,2167799.277,2785729.492,3741129.703,2377225.745,2469960.673,2587901.31,2125467.281
M115T117,115.0364611,117.372509,273161.4527,242500.2249,54986.13423,44595.41151,67222.04692,65307.71505,419103.2993,87851.72381,97418.6543,356653.5684
M116T121,115.5275083,120.5521088,NA,NA,39401.49603,31425.16543,NA,40512.89212,55849.38097,47236.0376,53144.75196,90361.85036
M116T99,115.988255,99.18858337,314562.0828,338884.1468,246816.6818,231949.4373,248274.294,108323.9937,125556.7807,121039.1565,143337.8435,80803.33822
M116T538,116.0574378,537.962,52747.72038,49715.99715,53187.18118,89973.50251,71758.3223,96607.65469,45151.87962,114971.5371,119373.494,90929.46562
M116T120,116.0699366,120.4677811,147696.8039,21671957.33,24989644.06,150722.7456,119303.4825,125524.4025,222342.5086,200118.9137,18689349.38,125713.2995
M116T98,116.4371613,98.29244995,250765.1367,216262.0397,239979.1547,252245.2162,209826.7715,107655.4008,176056.3379,214226.8441,143345.6112,158314.8901
M117T103,116.7912328,103.4267044,149407.496,77857.26096,119195.9071,99371.88281,71433.47533,62772.52263,131599.0423,171857.9029,155388.716,120231.8334
M117T1003,116.9851461,1003.014862,1255834.704,NA,NA,216502.6524,1901432.037,648433.651,60501.55657,70842.40172,2585141.499,2791501.321
M117T808,116.9853903,807.9442139,1202452.061,NA,NA,NA,1562073.408,1824615.083,1290725.476,1307163.214,6864684.625,1362192.363
M117T682,116.9854036,681.6846008,16385601.18,NA,NA,NA,13799492.77,834535.0461,715477.2837,2609956.847,672528.8511,1117903.371
M117T555,116.9854098,555.0926514,1033965.706,NA,NA,NA,1016564.068,3640026.609,2495380.889,3086124.592,4339647.57,1080963.286
M117T130,117.073678,129.8412933,110340.4691,855889.5687,1147914.238,867791.801,150715.6249,380199.9144,105663.0784,346039.781,399286.0265,762040.6624
M117T538,117.0634291,537.962,455022.6012,394223.572,551757.9684,473353.0877,576720.8932,758787.7751,516005.1528,4318909.913,559513.862,461306.993
M117T97,117.2799586,96.53185272,100323.3215,74331.90452,98147.53079,100386.1318,83782.40032,57258.20259,91695.36098,102510.9689,56732.26792,79315.93242
M118T538_1,117.5082003,537.962,92370.31023,74933.42949,118107.9154,105559.0599,137469.7119,133316.7295,80493.58647,89934.8111,106407.4364,75024.71049
M118T98,117.538046,98.04997498,225074.9249,203392.4064,237594.5393,232724.6043,197126.2485,109402.5849,175746.5723,177656.6856,133122.3073,136429.7228
M118T538_2,117.7672365,537.962,37260.78767,31205.7737,49366.71332,28328.63081,51473.35708,59652.2016,33488.93391,NA,NA,NA
M118T133,117.8302085,133.3811188,28021.82982,38947.96208,54449.45695,47916.92625,109782.6194,150984.8516,481953.7817,142535.8037,44879.21823,204883.8702
M118T538_3,118.0650051,537.962,98077.73225,75653.85504,80235.17382,48453.1982,74611.44047,155759.2767,590229.7728,154783.9494,34910270.34,142753.035
M118T613,118.0650357,613.4217529,417919.2575,298377.4527,381402.4232,NA,294814.2116,NA,2232390.795,NA,NA,2665622.158
M118T139,118.0845069,139.4699707,241704.7885,38029111.76,55788.99395,59361.72137,90740.54445,139912.9438,291618.6308,56961204.32,134836.3533,33097007.19
M118T278,118.0856365,277.7382507,NA,NA,NA,NA,1281109.812,1331586.23,2159453.599,NA,1707086.119,983723.1267
M118T538_4,118.3632585,537.962,39304.46537,32144.84875,41957.94491,39476.51282,52894.93671,54042.60911,26525.66107,39403.04894,47478.11736,NA
M118T146,118.3420921,146.3818436,28639.18653,45048.63189,55667.86088,41537.03398,NA,164356.6564,461993.5267,209647.8285,222233.7295,190994.6119
M119T538,118.625249,537.9619875,89439.6004,76095.81173,128530.112,91805.98918,110857.2125,134542.9779,89188.87944,88368.3641,101929.0553,71405.50195
M119T965,118.9784275,965.2501221,9024680.622,14423471.46,11247611.53,30212932.1,10776295.28,4841316.624,10259755.73,17467421.79,8780994.097,11411285.86
M119T1066,118.9785336,1066.34021,7197563.017,12335882.98,11449609.54,11163162.01,12325699.66,3406645.559,18525941.24,9001982.259,7917891.484,5860713.561
M119T1153,118.9783569,1152.525757,7582903.832,37348179.25,6003865.209,5176988.994,5976335.052,1483813.346,4421676.114,13211652.91,3987146.455,3180203.017
M119T98,119.0165431,98.29244995,297465.4714,260003.0733,7883430.734,301216.5557,6667908.598,158639.4932,7208192.694,306947.7204,199286.3503,203457.6481
M119T849,118.9783335,849.3366699,12894189.34,117647180.6,12023148.8,8774729.57,29120110.34,4738779.35,21350617.33,8132333.107,54107134.14,5271685.308
M119T505,118.9783103,504.8306182,4562065.717,4828449.341,2246414.655,5076940.91,3472960.463,986970.1166,5883272.91,2906164.346,4411475.834,12261933.83
M119T762,118.9784386,762.4057922,16806667.97,52457460.58,17783648.81,15857770.23,14091444.22,3068983.468,6852656.643,8807406.435,3314789.867,12799703.03
M119T611,118.9781149,611.0218506,9816795.157,41600715.57,30113980.84,8661714.259,28491751.33,1504696.629,3290812.476,18692392.19,26358007.62,21956465.47
M119T537,119.0682322,537.1680908,58158.98988,64970.87989,70985.93609,61613.14593,93466.06089,3819939.015,2529409.428,2495726.317,2699366.816,2150405.911
M119T126,119.0892295,126.4172935,1505241.168,2611709.41,2392461.32,1844881.654,2183666.41,1160557.907,214771.8864,1505962.653,1089935.3,1010851.911
M119T688,119.085083,688.0368652,497467.5081,631636.0835,416473.7611,432101.0402,476170.7779,392960.637,521226.5098,968876.8301,893228.5526,435325.3223
M120T494_1,119.5094862,494.287262,93209.54686,148652.9884,171693.2227,101055.1285,144888.4344,NA,NA,NA,NA,NA
M120T98,120.0112716,98.46528625,920004.0483,40517.5901,810048.9649,750093.6392,799209.673,669213.6403,804483.0459,845051.8783,785809.3498,722958.2868
